"","species","individualCount","eventDate","trap","area","date"
"1","Aedes albopictus",22,"2023-06-28T08:00/2023-06-29T08:00","BG21","UrbStC",2023-06-28
"2","Aedes albopictus",6,"2023-05-30T14:10/2023-05-31T14:10","BG01","PaAig",2023-05-30
"3","Aedes albopictus",1,"2023-06-28T08:22/2023-06-29T08:22","BG22","UrbBB",2023-06-28
"4","Aedes albopictus",1,"2023-08-22T11:55/2023-08-23T11:55","BG13","ZPSou",2023-08-22
"5","Aedes albopictus",4,"2023-09-19T08:39/2023-09-20T08:39","BG22","UrbBB",2023-09-19
"6","Aedes albopictus",5,"2023-09-19T08:27/2023-09-20T08:27","BG21","UrbStC",2023-09-19
"7","Aedes albopictus",7,"2023-08-23T12:00/2023-08-24T12:00","BG12","ZPSou",2023-08-23
"8","Aedes albopictus",5,"2023-07-25T07:30/2023-07-26T07:30","BG01","PaAig",2023-07-25
"9","Aedes albopictus",8,"2023-09-19T12:27/2023-09-20T12:27","BG12","ZPSou",2023-09-19
"10","Aedes albopictus",3,"2023-07-26T13:03/2023-07-27T13:03","BG13","ZPSou",2023-07-26
"11","Aedes albopictus",3,"2023-05-30T11:28/2023-05-31T11:28","BG15","ZPAig",2023-05-30
"12","Aedes albopictus",2,"2023-10-16T09:35/2023-10-17T09:35","BG03","PaJdP",2023-10-16
"13","Aedes albopictus",1,"2023-07-26T08:41/2023-07-27T08:41","BG23","UrbDid",2023-07-26
"14","Aedes albopictus",16,"2023-06-27T13:12/2023-06-28T13:12","BG13","ZPSou",2023-06-27
"15","Aedes albopictus",9,"2023-07-26T10:30/2023-07-27T10:30","BG05","PaJdP",2023-07-26
"16","Aedes albopictus",55,"2023-07-26T07:38/2023-07-27T07:38","BG02","PaAig",2023-07-26
"17","Aedes albopictus",2,"2023-05-03T08:30/2023-05-04T08:30","BG21","UrbStC",2023-05-03
"18","Aedes albopictus",6,"2023-06-28T13:21/2023-06-29T13:21","BG12","ZPSou",2023-06-28
"19","Aedes albopictus",1,"2023-05-02T09:04/2023-05-03T09:04","BG23","UrbDid",2023-05-02
"20","Aedes albopictus",1,"2023-08-23T08:17/2023-08-24T08:17","BG22","UrbBB",2023-08-23
"21","Aedes albopictus",8,"2023-07-26T12:25/2023-07-27T12:25","BG14","ZPLem",2023-07-26
"22","Aedes albopictus",1,"2023-07-25T10:04/2023-07-26T10:04","BG03","PaJdP",2023-07-25
"23","Aedes albopictus",14,"2023-08-22T07:25/2023-08-23T07:25","BG02","PaAig",2023-08-22
"24","Aedes albopictus",2,"2023-07-26T12:05/2023-07-27T12:05","BG16","ZPAig",2023-07-26
"25","Aedes albopictus",2,"2023-07-25T11:36/2023-07-26T11:36","BG15","ZPAig",2023-07-25
"26","Aedes albopictus",13,"2023-06-27T10:21/2023-06-28T10:21","BG05","PaJdP",2023-06-27
"27","Aedes albopictus",2,"2023-05-03T12:49/2023-05-04T12:49","BG11","ZPLem",2023-05-03
"28","Aedes albopictus",9,"2023-05-30T14:20/2023-05-31T14:20","BG02","PaAig",2023-05-30
"29","Aedes albopictus",4,"2023-10-16T11:41/2023-10-17T11:41","BG14","ZPLem",2023-10-16
"30","Aedes albopictus",4,"2023-07-25T12:25/2023-07-26T12:25","BG14","ZPLem",2023-07-25
"31","Aedes albopictus",3,"2023-05-02T12:49/2023-05-03T12:49","BG11","ZPLem",2023-05-02
"32","Aedes albopictus",30,"2023-06-28T08:57/2023-06-29T08:57","BG24","UrbAca",2023-06-28
"33","Aedes albopictus",7,"2023-09-19T11:49/2023-09-20T11:49","BG11","ZPLem",2023-09-19
"34","Aedes albopictus",3,"2023-07-25T08:56/2023-07-26T08:56","BG24","UrbAca",2023-07-25
"35","Aedes albopictus",26,"2023-06-27T13:21/2023-06-28T13:21","BG12","ZPSou",2023-06-27
"36","Aedes albopictus",4,"2023-06-27T08:22/2023-06-28T08:22","BG22","UrbBB",2023-06-27
"37","Aedes albopictus",9,"2023-09-19T11:07/2023-09-20T11:07","BG15","ZPAig",2023-09-19
"38","Aedes albopictus",9,"2023-05-30T09:13/2023-05-31T09:13","BG24","UrbAca",2023-05-30
"39","Aedes albopictus",6,"2023-06-28T09:34/2023-06-29T09:34","BG03","PaJdP",2023-06-28
"40","Aedes albopictus",2,"2023-07-26T07:30/2023-07-27T07:30","BG01","PaAig",2023-07-26
"41","Aedes albopictus",13,"2023-08-22T12:00/2023-08-23T12:00","BG12","ZPSou",2023-08-22
"42","Aedes albopictus",6,"2023-10-16T08:56/2023-10-17T08:56","BG24","UrbAca",2023-10-16
"43","Aedes albopictus",5,"2023-08-22T11:19/2023-08-23T11:19","BG14","ZPLem",2023-08-22
"44","Aedes albopictus",1,"2023-09-20T08:27/2023-09-21T08:27","BG21","UrbStC",2023-09-20
"45","Aedes albopictus",11,"2023-08-23T11:55/2023-08-24T11:55","BG13","ZPSou",2023-08-23
"46","Aedes albopictus",1,"2023-07-25T10:30/2023-07-26T10:30","BG05","PaJdP",2023-07-25
"47","Aedes albopictus",8,"2023-09-19T09:47/2023-09-20T09:47","BG05","PaJdP",2023-09-19
"48","Aedes albopictus",3,"2023-08-23T09:20/2023-08-24T09:20","BG03","PaJdP",2023-08-23
"49","Aedes albopictus",6,"2023-06-28T11:29/2023-06-29T11:29","BG15","ZPAig",2023-06-28
"50","Aedes albopictus",4,"2023-06-27T12:21/2023-06-28T12:21","BG14","ZPLem",2023-06-27
"51","Aedes albopictus",5,"2023-10-16T09:46/2023-10-17T09:46","BG04","PaJdP",2023-10-16
"52","Aedes albopictus",6,"2023-05-30T11:42/2023-05-31T11:42","BG16","ZPAig",2023-05-30
"53","Aedes albopictus",4,"2023-05-30T10:32/2023-05-31T10:32","BG05","PaJdP",2023-05-30
"54","Aedes albopictus",14,"2023-08-23T08:39/2023-08-24T08:39","BG24","UrbAca",2023-08-23
"55","Aedes albopictus",16,"2023-07-26T08:05/2023-07-27T08:05","BG21","UrbStC",2023-07-26
"56","Aedes albopictus",2,"2023-05-30T09:56/2023-05-31T09:56","BG04","PaJdP",2023-05-30
"57","Aedes albopictus",9,"2023-10-16T09:38/2023-10-17T09:38","BG05","PaJdP",2023-10-16
"58","Aedes albopictus",2,"2023-06-27T12:30/2023-06-28T12:30","BG11","ZPLem",2023-06-27
"59","Aedes albopictus",3,"2023-09-19T09:52/2023-09-20T09:52","BG04","PaJdP",2023-09-19
"60","Aedes albopictus",23,"2023-06-28T13:48/2023-06-29T13:48","BG01","PaAig",2023-06-28
"61","Aedes albopictus",1,"2023-05-03T12:49/2023-05-04T12:49","BG14","ZPLem",2023-05-03
"62","Aedes albopictus",3,"2023-07-25T13:03/2023-07-26T13:03","BG13","ZPSou",2023-07-25
"63","Aedes albopictus",3,"2023-09-19T08:56/2023-09-20T08:56","BG24","UrbAca",2023-09-19
"64","Aedes albopictus",65,"2023-06-28T14:03/2023-06-29T14:03","BG02","PaAig",2023-06-28
"65","Aedes albopictus",19,"2023-08-23T09:33/2023-08-24T09:33","BG05","PaJdP",2023-08-23
"66","Aedes albopictus",1,"2023-04-26T10:00/2023-04-27T10:00","BG05","PaJdP",2023-04-26
"67","Aedes albopictus",1,"2023-09-19T09:40/2023-09-20T09:40","BG03","PaJdP",2023-09-19
"68","Aedes albopictus",7,"2023-08-22T08:07/2023-08-23T08:07","BG21","UrbStC",2023-08-22
"69","Aedes albopictus",9,"2023-06-28T11:40/2023-06-29T11:40","BG16","ZPAig",2023-06-28
"70","Aedes albopictus",15,"2023-08-23T09:33/2023-08-24T09:33","BG04","PaJdP",2023-08-23
"71","Aedes albopictus",4,"2023-09-19T11:41/2023-09-20T11:41","BG14","ZPLem",2023-09-19
"72","Aedes albopictus",4,"2023-09-19T11:15/2023-09-20T11:15","BG16","ZPAig",2023-09-19
"73","Aedes albopictus",5,"2023-06-27T09:34/2023-06-28T09:34","BG03","PaJdP",2023-06-27
"74","Aedes albopictus",4,"2023-06-28T08:38/2023-06-29T08:38","BG23","UrbDid",2023-06-28
"75","Aedes albopictus",14,"2023-09-19T07:50/2023-09-20T07:50","BG02","PaAig",2023-09-19
"76","Aedes albopictus",5,"2023-08-22T09:20/2023-08-23T09:20","BG03","PaJdP",2023-08-22
"77","Aedes albopictus",2,"2023-10-16T11:24/2023-10-17T11:24","BG11","ZPLem",2023-10-16
"78","Aedes albopictus",4,"2023-05-30T12:24/2023-05-31T12:24","BG11","ZPLem",2023-05-30
"79","Aedes albopictus",9,"2023-08-23T11:19/2023-08-24T11:19","BG14","ZPLem",2023-08-23
"80","Aedes albopictus",17,"2023-06-27T11:29/2023-06-28T11:29","BG15","ZPAig",2023-06-27
"81","Aedes albopictus",8,"2023-07-26T08:56/2023-07-27T08:56","BG24","UrbAca",2023-07-26
"82","Aedes albopictus",1,"2023-09-19T08:54/2023-09-20T08:54","BG23","UrbDid",2023-09-19
"83","Aedes albopictus",2,"2023-08-23T10:51/2023-08-24T10:51","BG16","ZPAig",2023-08-23
"84","Aedes albopictus",10,"2023-06-28T12:21/2023-06-29T12:21","BG14","ZPLem",2023-06-28
"85","Aedes albopictus",3,"2023-07-26T13:13/2023-07-27T13:13","BG12","ZPSou",2023-07-26
"86","Aedes albopictus",7,"2023-07-26T10:04/2023-07-27T10:04","BG03","PaJdP",2023-07-26
"87","Aedes albopictus",3,"2023-05-30T13:21/2023-05-31T13:21","BG13","ZPSou",2023-05-30
"88","Aedes albopictus",5,"2023-08-22T07:31/2023-08-23T07:31","BG01","PaAig",2023-08-22
"89","Aedes albopictus",29,"2023-06-27T08:57/2023-06-28T08:57","BG24","UrbAca",2023-06-27
"90","Aedes albopictus",2,"2023-08-23T08:36/2023-08-24T08:36","BG23","UrbDid",2023-08-23
"91","Aedes albopictus",1,"2023-07-26T08:23/2023-07-27T08:23","BG22","UrbBB",2023-07-26
"92","Aedes albopictus",3,"2023-07-25T13:13/2023-07-26T13:13","BG12","ZPSou",2023-07-25
"93","Aedes albopictus",5,"2023-08-23T07:31/2023-08-24T07:31","BG01","PaAig",2023-08-23
"94","Aedes albopictus",4,"2023-08-22T10:43/2023-08-23T10:43","BG15","ZPAig",2023-08-22
"95","Aedes albopictus",12,"2023-08-23T10:43/2023-08-24T10:43","BG15","ZPAig",2023-08-23
"96","Aedes albopictus",28,"2023-06-28T10:21/2023-06-29T10:21","BG05","PaJdP",2023-06-28
"97","Aedes albopictus",25,"2023-08-23T07:25/2023-08-24T07:25","BG02","PaAig",2023-08-23
"98","Aedes albopictus",35,"2023-07-26T11:36/2023-07-27T11:36","BG15","ZPAig",2023-07-26
"99","Aedes albopictus",9,"2023-06-27T08:00/2023-06-28T08:00","BG21","UrbStC",2023-06-27
"100","Aedes albopictus",1,"2023-07-25T08:23/2023-07-26T08:23","BG22","UrbBB",2023-07-25
"101","Aedes albopictus",5,"2023-09-19T12:28/2023-09-20T12:28","BG13","ZPSou",2023-09-19
"102","Aedes albopictus",3,"2023-06-28T09:56/2023-06-29T09:56","BG04","PaJdP",2023-06-28
"103","Aedes albopictus",1,"2023-10-16T12:11/2023-10-17T12:11","BG12","ZPSou",2023-10-16
"104","Aedes albopictus",5,"2023-09-19T07:42/2023-09-20T07:42","BG01","PaAig",2023-09-19
"105","Aedes albopictus",2,"2023-10-16T08:05/2023-10-17T08:05","BG02","PaAig",2023-10-16
"106","Aedes albopictus",10,"2023-06-27T09:56/2023-06-28T09:56","BG04","PaJdP",2023-06-27
"107","Aedes albopictus",1,"2023-10-16T08:49/2023-10-17T08:49","BG22","UrbBB",2023-10-16
"108","Aedes albopictus",7,"2023-10-16T08:40/2023-10-17T08:40","BG21","UrbStC",2023-10-16
"109","Aedes albopictus",12,"2023-08-22T09:33/2023-08-23T09:33","BG04","PaJdP",2023-08-22
"110","Aedes albopictus",1,"2023-05-03T10:04/2023-05-04T10:04","BG05","PaJdP",2023-05-03
"111","Aedes albopictus",2,"2023-05-30T08:37/2023-05-31T08:37","BG22","UrbBB",2023-05-30
"112","Aedes albopictus",13,"2023-07-25T07:38/2023-07-26T07:38","BG02","PaAig",2023-07-25
"113","Aedes albopictus",1,"2023-05-30T12:12/2023-05-31T12:12","BG14","ZPLem",2023-05-30
"114","Aedes albopictus",8,"2023-05-30T13:34/2023-05-31T13:34","BG12","ZPSou",2023-05-30
"115","Aedes albopictus",11,"2023-06-27T11:40/2023-06-28T11:40","BG16","ZPAig",2023-06-27
"116","Aedes albopictus",1,"2023-07-26T10:14/2023-07-27T10:14","BG04","PaJdP",2023-07-26
"117","Aedes albopictus",3,"2023-07-25T08:05/2023-07-26T08:05","BG21","UrbStC",2023-07-25
"118","Aedes albopictus",3,"2023-08-22T10:51/2023-08-23T10:51","BG16","ZPAig",2023-08-22
"119","Aedes albopictus",30,"2023-06-27T13:48/2023-06-28T13:48","BG01","PaAig",2023-06-27
"120","Aedes albopictus",3,"2023-06-28T12:30/2023-06-29T12:30","BG11","ZPLem",2023-06-28
"121","Aedes albopictus",16,"2023-06-28T13:12/2023-06-29T13:12","BG13","ZPSou",2023-06-28
"122","Aedes albopictus",8,"2023-08-22T08:39/2023-08-23T08:39","BG24","UrbAca",2023-08-22
"123","Aedes albopictus",9,"2023-05-30T08:14/2023-05-31T08:14","BG21","UrbStC",2023-05-30
"124","Aedes albopictus",14,"2023-08-22T09:33/2023-08-23T09:33","BG05","PaJdP",2023-08-22
"125","Aedes albopictus",47,"2023-06-27T14:03/2023-06-28T14:03","BG02","PaAig",2023-06-27
"126","Aedes albopictus",15,"2023-08-23T08:07/2023-08-24T08:07","BG21","UrbStC",2023-08-23
